,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
8,8,8,780,20598,1207,40365,../epiddrad/clust_87_outfiles/clust_87_stats.txt
9,9,9,887,28581,1293,52002,../epiddrad/clust_87_outfiles/clust_87_stats.txt
10,10,10,1005,38631,1166,63662,../epiddrad/clust_87_outfiles/clust_87_stats.txt
11,11,11,1017,49818,1082,75564,../epiddrad/clust_87_outfiles/clust_87_stats.txt
12,12,12,1143,63534,1130,89124,../epiddrad/clust_87_outfiles/clust_87_stats.txt
13,13,13,1134,78276,1046,102722,../epiddrad/clust_87_outfiles/clust_87_stats.txt
14,14,14,1054,93032,926,115686,../epiddrad/clust_87_outfiles/clust_87_stats.txt
15,15,15,1145,110207,839,128271,../epiddrad/clust_87_outfiles/clust_87_stats.txt
16,16,16,1062,127199,763,140479,../epiddrad/clust_87_outfiles/clust_87_stats.txt
17,17,17,1080,145559,710,152549,../epiddrad/clust_87_outfiles/clust_87_stats.txt
18,18,18,974,163091,572,162845,../epiddrad/clust_87_outfiles/clust_87_stats.txt
19,19,19,963,181388,533,172972,../epiddrad/clust_87_outfiles/clust_87_stats.txt
20,20,20,878,198948,442,181812,../epiddrad/clust_87_outfiles/clust_87_stats.txt
21,21,21,806,215874,383,189855,../epiddrad/clust_87_outfiles/clust_87_stats.txt
22,22,22,754,232462,339,197313,../epiddrad/clust_87_outfiles/clust_87_stats.txt
23,23,23,669,247849,255,203178,../epiddrad/clust_87_outfiles/clust_87_stats.txt
